A new study created in memory with name: no-name-a33eba91-13aa-4f10-b8f2-744f56c4113b
Start optimization.
Trial 0 finished with value: 0.5703496914487217 and parameters: {'n_estimators': 261, 'learning_rate': 0.15318822100312696, 'max_depth': 8, 'subsample': 0.6627759251822026, 'colsample_bytree': 0.5444189522442642, 'min_child_weight': 9}. Best is trial 0 with value: 0.5703496914487217.
Trial 101 finished with value: 0.6578313253012048 and parameters: {'n_estimators': 122, 'learning_rate': 0.1169062528759676, 'max_depth': 2, 'subsample': 0.8215457435272339, 'colsample_bytree': 0.943395817620815, 'min_child_weight': 1}. Best is trial 101 with value: 0.6578313253012048.
Trial 102 finished with value: 0.6481046135762563 and parameters: {'n_estimators': 127, 'learning_rate': 0.12105880040535197, 'max_depth': 2, 'subsample': 0.8226310648769447, 'colsample_bytree': 0.9473797796354376, 'min_child_weight': 1}. Best is trial 101 with value: 0.6578313253012048.
Trial 103 finished with value: 0.6602115780193947 and parameters: {'n_estimators': 115, 'learning_rate': 0.11818920223121067, 'max_depth': 2, 'subsample': 0.8311607635710521, 'colsample_bytree': 0.9428727754256782, 'min_child_weight': 1}. Best is trial 103 with value: 0.6602115780193947.
Trial 104 finished with value: 0.6602409638554217 and parameters: {'n_estimators': 100, 'learning_rate': 0.1067308505717908, 'max_depth': 2, 'subsample': 0.8294265149145251, 'colsample_bytree': 0.9442269977282494, 'min_child_weight': 1}. Best is trial 104 with value: 0.6602409638554217.
Trial 105 finished with value: 0.6650602409638555 and parameters: {'n_estimators': 101, 'learning_rate': 0.10491472095547087, 'max_depth': 2, 'subsample': 0.8272165028037439, 'colsample_bytree': 0.9063526354364151, 'min_child_weight': 1}. Best is trial 105 with value: 0.6650602409638555.
Trial 106 finished with value: 0.6505142521304732 and parameters: {'n_estimators': 113, 'learning_rate': 0.12230999207213614, 'max_depth': 2, 'subsample': 0.82646268628275, 'colsample_bytree': 0.9046191215991084, 'min_child_weight': 1}. Best is trial 105 with value: 0.6650602409638555.
Trial 107 finished with value: 0.6360270349691449 and parameters: {'n_estimators': 101, 'learning_rate': 0.10905983591529769, 'max_depth': 2, 'subsample': 0.8327250514137252, 'colsample_bytree': 0.911830984652299, 'min_child_weight': 2}. Best is trial 105 with value: 0.6650602409638555.
Trial 108 finished with value: 0.6359682632970909 and parameters: {'n_estimators': 103, 'learning_rate': 0.10708354550320044, 'max_depth': 2, 'subsample': 0.8672628648140631, 'colsample_bytree': 0.9011293442311115, 'min_child_weight': 2}. Best is trial 105 with value: 0.6650602409638555.
Trial 109 finished with value: 0.6602703496914488 and parameters: {'n_estimators': 114, 'learning_rate': 0.10480262815904373, 'max_depth': 2, 'subsample': 0.8536726156803284, 'colsample_bytree': 0.9368927613629667, 'min_child_weight': 1}. Best is trial 105 with value: 0.6650602409638555.
Trial 110 finished with value: 0.6407875404055245 and parameters: {'n_estimators': 108, 'learning_rate': 0.10147099923792513, 'max_depth': 2, 'subsample': 0.8832398295162422, 'colsample_bytree': 0.8753425620092746, 'min_child_weight': 1}. Best is trial 105 with value: 0.6650602409638555.
Trial 111 finished with value: 0.6675286511901264 and parameters: {'n_estimators': 110, 'learning_rate': 0.11185465235345901, 'max_depth': 2, 'subsample': 0.8515215904005504, 'colsample_bytree': 0.9310730512196842, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 112 finished with value: 0.6481339994122833 and parameters: {'n_estimators': 114, 'learning_rate': 0.11260544161238518, 'max_depth': 2, 'subsample': 0.8527260632881886, 'colsample_bytree': 0.9315033544995073, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 113 finished with value: 0.6626799882456655 and parameters: {'n_estimators': 114, 'learning_rate': 0.10606011207751444, 'max_depth': 2, 'subsample': 0.8244026415996474, 'colsample_bytree': 0.9571852818132478, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 114 finished with value: 0.6626799882456655 and parameters: {'n_estimators': 112, 'learning_rate': 0.10595092071750283, 'max_depth': 2, 'subsample': 0.8284944475006205, 'colsample_bytree': 0.9591352641586187, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 115 finished with value: 0.6431677931237145 and parameters: {'n_estimators': 108, 'learning_rate': 0.1055263928953681, 'max_depth': 2, 'subsample': 0.8983941697608068, 'colsample_bytree': 0.956479972276694, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 116 finished with value: 0.6626799882456657 and parameters: {'n_estimators': 118, 'learning_rate': 0.09956784984431198, 'max_depth': 2, 'subsample': 0.8483401984556215, 'colsample_bytree': 0.9563602566199652, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 117 finished with value: 0.6311489861886572 and parameters: {'n_estimators': 117, 'learning_rate': 0.10138946417622943, 'max_depth': 2, 'subsample': 0.8479286730985428, 'colsample_bytree': 0.9231505710354231, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 118 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 108, 'learning_rate': 0.09782016399969487, 'max_depth': 2, 'subsample': 0.877321038898572, 'colsample_bytree': 0.9538781308884116, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 119 finished with value: 0.6578313253012048 and parameters: {'n_estimators': 100, 'learning_rate': 0.10395223089618376, 'max_depth': 2, 'subsample': 0.8885569288663134, 'colsample_bytree': 0.8887121405504295, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 120 finished with value: 0.6407581545694976 and parameters: {'n_estimators': 98, 'learning_rate': 0.10652775278994278, 'max_depth': 2, 'subsample': 0.8552786593399626, 'colsample_bytree': 0.885715553685039, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 121 finished with value: 0.6408169262415517 and parameters: {'n_estimators': 92, 'learning_rate': 0.1045166497915346, 'max_depth': 2, 'subsample': 0.8867273050911152, 'colsample_bytree': 0.9773986146736316, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 122 finished with value: 0.6456949750220395 and parameters: {'n_estimators': 103, 'learning_rate': 0.11045196941042217, 'max_depth': 2, 'subsample': 0.9088429160034455, 'colsample_bytree': 0.9335968046561538, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 123 finished with value: 0.6626212165736115 and parameters: {'n_estimators': 114, 'learning_rate': 0.09918322661492414, 'max_depth': 2, 'subsample': 0.8225784242265578, 'colsample_bytree': 0.9082948666574368, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 124 finished with value: 0.6602115780193947 and parameters: {'n_estimators': 114, 'learning_rate': 0.09224575424132246, 'max_depth': 2, 'subsample': 0.8305790055148818, 'colsample_bytree': 0.9112673725330523, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 125 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 113, 'learning_rate': 0.09354641073090214, 'max_depth': 2, 'subsample': 0.8339449885741083, 'colsample_bytree': 0.8708775131900689, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 126 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 113, 'learning_rate': 0.09229260864130545, 'max_depth': 2, 'subsample': 0.837082748925454, 'colsample_bytree': 0.8719226493686043, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 127 finished with value: 0.6384072876873347 and parameters: {'n_estimators': 99, 'learning_rate': 0.09836321366933304, 'max_depth': 2, 'subsample': 0.8578694546368958, 'colsample_bytree': 0.8958894960407429, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 128 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 117, 'learning_rate': 0.0939932584471823, 'max_depth': 2, 'subsample': 0.8845967370458181, 'colsample_bytree': 0.9127800137920722, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 129 finished with value: 0.6237437555098444 and parameters: {'n_estimators': 107, 'learning_rate': 0.08825361043317091, 'max_depth': 9, 'subsample': 0.9200055791671069, 'colsample_bytree': 0.9110701286449543, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 130 finished with value: 0.606729356450191 and parameters: {'n_estimators': 118, 'learning_rate': 0.10187311452900956, 'max_depth': 2, 'subsample': 0.8918084617637341, 'colsample_bytree': 0.8889677014256919, 'min_child_weight': 5}. Best is trial 111 with value: 0.6675286511901264.
Trial 131 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 112, 'learning_rate': 0.09432447088856787, 'max_depth': 2, 'subsample': 0.8743079727460757, 'colsample_bytree': 0.8729411254512948, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 132 finished with value: 0.6505730238025272 and parameters: {'n_estimators': 111, 'learning_rate': 0.09712268727114254, 'max_depth': 2, 'subsample': 0.8740600568705813, 'colsample_bytree': 0.9108567529374504, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 133 finished with value: 0.6432853364678225 and parameters: {'n_estimators': 118, 'learning_rate': 0.09042801309115625, 'max_depth': 2, 'subsample': 0.9317576394499782, 'colsample_bytree': 0.9459321628678087, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 134 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 96, 'learning_rate': 0.0866728810703295, 'max_depth': 2, 'subsample': 0.857883702593337, 'colsample_bytree': 0.8611931315350562, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 135 finished with value: 0.6602115780193947 and parameters: {'n_estimators': 96, 'learning_rate': 0.08771497725865907, 'max_depth': 2, 'subsample': 0.8205723107030519, 'colsample_bytree': 0.9376041915732068, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 136 finished with value: 0.6626506024096386 and parameters: {'n_estimators': 94, 'learning_rate': 0.08603770835457632, 'max_depth': 2, 'subsample': 0.8290641733404611, 'colsample_bytree': 0.9598436924332352, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 137 finished with value: 0.655362915074934 and parameters: {'n_estimators': 84, 'learning_rate': 0.08429672453277223, 'max_depth': 2, 'subsample': 0.8180993230171523, 'colsample_bytree': 0.9595926433694024, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 138 finished with value: 0.6092271525124889 and parameters: {'n_estimators': 101, 'learning_rate': 0.09864065580591383, 'max_depth': 10, 'subsample': 0.8299223294287723, 'colsample_bytree': 0.9367008467447779, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 139 finished with value: 0.6384072876873348 and parameters: {'n_estimators': 91, 'learning_rate': 0.11346217519724822, 'max_depth': 2, 'subsample': 0.794674324747655, 'colsample_bytree': 0.9592793493454821, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 140 finished with value: 0.6432265647957685 and parameters: {'n_estimators': 296, 'learning_rate': 0.10387656436505438, 'max_depth': 2, 'subsample': 0.8380494510140155, 'colsample_bytree': 0.9352929449596837, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 141 finished with value: 0.65292389068469 and parameters: {'n_estimators': 94, 'learning_rate': 0.08683551875795181, 'max_depth': 2, 'subsample': 0.8558102672035959, 'colsample_bytree': 0.9001366993346269, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 142 finished with value: 0.6578019394651778 and parameters: {'n_estimators': 97, 'learning_rate': 0.08436662169693253, 'max_depth': 2, 'subsample': 0.8127277425413459, 'colsample_bytree': 0.918291023925166, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 143 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 88, 'learning_rate': 0.08020217357316489, 'max_depth': 2, 'subsample': 0.8112325286855753, 'colsample_bytree': 0.9244128769816776, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 144 finished with value: 0.6530120481927713 and parameters: {'n_estimators': 105, 'learning_rate': 0.09103441466568893, 'max_depth': 2, 'subsample': 0.8204167410201642, 'colsample_bytree': 0.965011803097362, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 145 finished with value: 0.6601821921833675 and parameters: {'n_estimators': 100, 'learning_rate': 0.10835954610731996, 'max_depth': 2, 'subsample': 0.7948567554302824, 'colsample_bytree': 0.9412490338187246, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 146 finished with value: 0.6481339994122833 and parameters: {'n_estimators': 103, 'learning_rate': 0.10968193391211424, 'max_depth': 2, 'subsample': 0.7920023173809544, 'colsample_bytree': 0.9540867625299693, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 147 finished with value: 0.633588010578901 and parameters: {'n_estimators': 109, 'learning_rate': 0.10673068023448315, 'max_depth': 2, 'subsample': 0.8458643363778232, 'colsample_bytree': 0.8872986150818968, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 148 finished with value: 0.6432559506317955 and parameters: {'n_estimators': 75, 'learning_rate': 0.10013462103908062, 'max_depth': 3, 'subsample': 0.8339271151414097, 'colsample_bytree': 0.943355131361691, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 149 finished with value: 0.6384072876873348 and parameters: {'n_estimators': 105, 'learning_rate': 0.11374546651834655, 'max_depth': 2, 'subsample': 0.9119848383923809, 'colsample_bytree': 0.9800259276297325, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 150 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 99, 'learning_rate': 0.10455241232686603, 'max_depth': 2, 'subsample': 0.8940730305973413, 'colsample_bytree': 0.9327611232305235, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 151 finished with value: 0.657890096973259 and parameters: {'n_estimators': 95, 'learning_rate': 0.07575684046546437, 'max_depth': 2, 'subsample': 0.807322068809914, 'colsample_bytree': 0.917666201668675, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 152 finished with value: 0.6530120481927711 and parameters: {'n_estimators': 89, 'learning_rate': 0.07680666697594371, 'max_depth': 2, 'subsample': 0.8635407072330933, 'colsample_bytree': 0.9069957509615654, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 153 finished with value: 0.6553335292389069 and parameters: {'n_estimators': 94, 'learning_rate': 0.1084333364509674, 'max_depth': 2, 'subsample': 0.8041066648996549, 'colsample_bytree': 0.9593135082898734, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 154 finished with value: 0.6577725536291508 and parameters: {'n_estimators': 82, 'learning_rate': 0.09700261820855068, 'max_depth': 2, 'subsample': 0.7826535868136199, 'colsample_bytree': 0.9421662254714276, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 155 finished with value: 0.6601821921833677 and parameters: {'n_estimators': 121, 'learning_rate': 0.11644678316630319, 'max_depth': 2, 'subsample': 0.8260381575743589, 'colsample_bytree': 0.8896918687106379, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 156 finished with value: 0.5872759330002939 and parameters: {'n_estimators': 120, 'learning_rate': 0.11586014386440788, 'max_depth': 2, 'subsample': 0.8441745455885914, 'colsample_bytree': 0.9775233786940334, 'min_child_weight': 9}. Best is trial 111 with value: 0.6675286511901264.
Trial 157 finished with value: 0.6553335292389069 and parameters: {'n_estimators': 115, 'learning_rate': 0.11093076416433184, 'max_depth': 2, 'subsample': 0.8225848822441381, 'colsample_bytree': 0.920561942975136, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 158 finished with value: 0.6042903320599471 and parameters: {'n_estimators': 108, 'learning_rate': 0.11689218555735469, 'max_depth': 2, 'subsample': 0.8045732768792748, 'colsample_bytree': 0.9011024720353649, 'min_child_weight': 4}. Best is trial 111 with value: 0.6675286511901264.
Trial 159 finished with value: 0.6334704672347928 and parameters: {'n_estimators': 128, 'learning_rate': 0.09854398939547387, 'max_depth': 3, 'subsample': 0.7814568646996083, 'colsample_bytree': 0.9481293673785023, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 160 finished with value: 0.6651190126359096 and parameters: {'n_estimators': 121, 'learning_rate': 0.09436441791633136, 'max_depth': 2, 'subsample': 0.8505736794275691, 'colsample_bytree': 0.985681863913273, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 161 finished with value: 0.6482221569203644 and parameters: {'n_estimators': 122, 'learning_rate': 0.09227933343275478, 'max_depth': 2, 'subsample': 0.8645178573670835, 'colsample_bytree': 0.9851223465156307, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 162 finished with value: 0.6529532765207171 and parameters: {'n_estimators': 113, 'learning_rate': 0.10266121418083611, 'max_depth': 2, 'subsample': 0.8237641748115236, 'colsample_bytree': 0.9663135858341023, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 163 finished with value: 0.6553629150749339 and parameters: {'n_estimators': 253, 'learning_rate': 0.07677317430365946, 'max_depth': 2, 'subsample': 0.839153124761753, 'colsample_bytree': 0.9315234305269411, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 164 finished with value: 0.650455480458419 and parameters: {'n_estimators': 120, 'learning_rate': 0.0943797904258271, 'max_depth': 2, 'subsample': 0.7991283205256802, 'colsample_bytree': 0.9995104511407384, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 165 finished with value: 0.6626212165736116 and parameters: {'n_estimators': 105, 'learning_rate': 0.10836133242972401, 'max_depth': 2, 'subsample': 0.8518203665570544, 'colsample_bytree': 0.6141305482144788, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 166 finished with value: 0.6163679106670585 and parameters: {'n_estimators': 105, 'learning_rate': 0.10069760519474316, 'max_depth': 2, 'subsample': 0.8500422277904051, 'colsample_bytree': 0.4714823159676067, 'min_child_weight': 7}. Best is trial 111 with value: 0.6675286511901264.
Trial 167 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 110, 'learning_rate': 0.10831410144116271, 'max_depth': 2, 'subsample': 0.8759803169648858, 'colsample_bytree': 0.8421311426829116, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 168 finished with value: 0.6505142521304731 and parameters: {'n_estimators': 102, 'learning_rate': 0.0883033811994674, 'max_depth': 2, 'subsample': 0.8538121930776266, 'colsample_bytree': 0.5587523720984044, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 169 finished with value: 0.63111960035263 and parameters: {'n_estimators': 95, 'learning_rate': 0.11157821764575593, 'max_depth': 2, 'subsample': 0.8358714449030993, 'colsample_bytree': 0.6927571168411674, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 170 finished with value: 0.65292389068469 and parameters: {'n_estimators': 115, 'learning_rate': 0.09576317868729861, 'max_depth': 2, 'subsample': 0.8687385570133103, 'colsample_bytree': 0.6792293495008715, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 171 finished with value: 0.6481633852483103 and parameters: {'n_estimators': 109, 'learning_rate': 0.10185935796754801, 'max_depth': 2, 'subsample': 0.8201393323385061, 'colsample_bytree': 0.9197973020192735, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 172 finished with value: 0.6529238906846899 and parameters: {'n_estimators': 126, 'learning_rate': 0.10589270971906717, 'max_depth': 2, 'subsample': 0.7945929172385993, 'colsample_bytree': 0.9499152640386878, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 173 finished with value: 0.6504848662944461 and parameters: {'n_estimators': 117, 'learning_rate': 0.11567961172014923, 'max_depth': 2, 'subsample': 0.8143710300055483, 'colsample_bytree': 0.9667407323544913, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 174 finished with value: 0.6505142521304732 and parameters: {'n_estimators': 90, 'learning_rate': 0.09101324850399556, 'max_depth': 2, 'subsample': 0.7719872352054278, 'colsample_bytree': 0.6650898110991982, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 175 finished with value: 0.6114310902145166 and parameters: {'n_estimators': 105, 'learning_rate': 0.1195930974459957, 'max_depth': 2, 'subsample': 0.8296720578159013, 'colsample_bytree': 0.7345787645473486, 'min_child_weight': 8}. Best is trial 111 with value: 0.6675286511901264.
Trial 176 finished with value: 0.6529826623567441 and parameters: {'n_estimators': 121, 'learning_rate': 0.11174638212774704, 'max_depth': 3, 'subsample': 0.8499888084368592, 'colsample_bytree': 0.8866111449753862, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 177 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 129, 'learning_rate': 0.09882908271649495, 'max_depth': 2, 'subsample': 0.8998117964250751, 'colsample_bytree': 0.9338319089386236, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 178 finished with value: 0.6456949750220394 and parameters: {'n_estimators': 100, 'learning_rate': 0.10683393970226361, 'max_depth': 2, 'subsample': 0.9488000460209296, 'colsample_bytree': 0.9794092844479524, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 179 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 111, 'learning_rate': 0.08584018284353837, 'max_depth': 2, 'subsample': 0.8015285325679834, 'colsample_bytree': 0.6306794130036645, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 180 finished with value: 0.6432559506317956 and parameters: {'n_estimators': 98, 'learning_rate': 0.08248949798609914, 'max_depth': 2, 'subsample': 0.8771110580753165, 'colsample_bytree': 0.6503093720004182, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 181 finished with value: 0.6480752277402293 and parameters: {'n_estimators': 102, 'learning_rate': 0.10277491277813884, 'max_depth': 2, 'subsample': 0.8402722338802042, 'colsample_bytree': 0.859303462569869, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 182 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 115, 'learning_rate': 0.10443321735112443, 'max_depth': 2, 'subsample': 0.8620406127746857, 'colsample_bytree': 0.6057767270687536, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 183 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 109, 'learning_rate': 0.10943459581246665, 'max_depth': 2, 'subsample': 0.8912496427407507, 'colsample_bytree': 0.9004335961625098, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 184 finished with value: 0.6578019394651778 and parameters: {'n_estimators': 92, 'learning_rate': 0.09517602529108386, 'max_depth': 2, 'subsample': 0.8212009633090037, 'colsample_bytree': 0.8881449761047582, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 185 finished with value: 0.6432559506317955 and parameters: {'n_estimators': 99, 'learning_rate': 0.1135898772455309, 'max_depth': 2, 'subsample': 0.9115455997075781, 'colsample_bytree': 0.9223278755318275, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 186 finished with value: 0.636056420805172 and parameters: {'n_estimators': 85, 'learning_rate': 0.08906628113419815, 'max_depth': 2, 'subsample': 0.8814450350329464, 'colsample_bytree': 0.9476104897808878, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 187 finished with value: 0.6456949750220395 and parameters: {'n_estimators': 106, 'learning_rate': 0.06927785572852806, 'max_depth': 2, 'subsample': 0.8458405189318278, 'colsample_bytree': 0.8218141766707184, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 188 finished with value: 0.6577431677931238 and parameters: {'n_estimators': 121, 'learning_rate': 0.1221323705823489, 'max_depth': 2, 'subsample': 0.7892950335103343, 'colsample_bytree': 0.8786584886439383, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 189 finished with value: 0.6505436379665002 and parameters: {'n_estimators': 112, 'learning_rate': 0.09898755961065332, 'max_depth': 2, 'subsample': 0.8144862506928179, 'colsample_bytree': 0.9159481589659422, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 190 finished with value: 0.628592418454305 and parameters: {'n_estimators': 95, 'learning_rate': 0.10460311398177236, 'max_depth': 3, 'subsample': 0.981616620262145, 'colsample_bytree': 0.9607048179719327, 'min_child_weight': 2}. Best is trial 111 with value: 0.6675286511901264.
Trial 191 finished with value: 0.6650602409638554 and parameters: {'n_estimators': 100, 'learning_rate': 0.0862646755880218, 'max_depth': 2, 'subsample': 0.8091451958206666, 'colsample_bytree': 0.9109963230443018, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 192 finished with value: 0.6602703496914486 and parameters: {'n_estimators': 103, 'learning_rate': 0.08421939925318794, 'max_depth': 2, 'subsample': 0.8300271562397823, 'colsample_bytree': 0.9056288201415799, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 193 finished with value: 0.6626506024096386 and parameters: {'n_estimators': 106, 'learning_rate': 0.08190948478259169, 'max_depth': 2, 'subsample': 0.829972738066677, 'colsample_bytree': 0.9366602854732814, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 194 finished with value: 0.6578019394651778 and parameters: {'n_estimators': 105, 'learning_rate': 0.08317389352809973, 'max_depth': 2, 'subsample': 0.8339409849954559, 'colsample_bytree': 0.7207515722065466, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 195 finished with value: 0.6626212165736116 and parameters: {'n_estimators': 101, 'learning_rate': 0.0818643037306027, 'max_depth': 2, 'subsample': 0.8029521523307626, 'colsample_bytree': 0.9070229959246887, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 196 finished with value: 0.655421686746988 and parameters: {'n_estimators': 101, 'learning_rate': 0.07946720280991691, 'max_depth': 2, 'subsample': 0.8573342735792744, 'colsample_bytree': 0.9027092852986701, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 197 finished with value: 0.6481046135762563 and parameters: {'n_estimators': 109, 'learning_rate': 0.08535924117320756, 'max_depth': 2, 'subsample': 0.7710158654975445, 'colsample_bytree': 0.9382168669149863, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 198 finished with value: 0.6626506024096386 and parameters: {'n_estimators': 116, 'learning_rate': 0.08048466248280323, 'max_depth': 2, 'subsample': 0.8256266061131351, 'colsample_bytree': 0.9681696144107972, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 199 finished with value: 0.653012048192771 and parameters: {'n_estimators': 116, 'learning_rate': 0.07898818322993995, 'max_depth': 2, 'subsample': 0.8335240446409093, 'colsample_bytree': 0.984272319425903, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 200 finished with value: 0.6650896267998825 and parameters: {'n_estimators': 115, 'learning_rate': 0.08254290973718774, 'max_depth': 2, 'subsample': 0.8550313657079923, 'colsample_bytree': 0.9633645640582849, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
Trial 201 finished with value: 0.6506317954745813 and parameters: {'n_estimators': 113, 'learning_rate': 0.0819880280197613, 'max_depth': 2, 'subsample': 0.8617237600882963, 'colsample_bytree': 0.9673379458924006, 'min_child_weight': 1}. Best is trial 111 with value: 0.6675286511901264.
