A new study created in memory with name: no-name-766e1d2f-73fa-47ed-9622-e06157c0b22c
Start optimization.
Trial 0 finished with value: 0.5751190476190475 and parameters: {'learning_rate': 0.07209173395251434, 'max_depth': 8, 'subsample': 0.4518946352650511, 'colsample_bytree': 0.41836847517184717, 'min_child_weight': 12}. Best is trial 0 with value: 0.5751190476190475.
Trial 110 finished with value: 0.6579761904761904 and parameters: {'learning_rate': 0.0040369145578595875, 'max_depth': 4, 'subsample': 0.9380841705582414, 'colsample_bytree': 0.3451885505323434, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 111 finished with value: 0.6602380952380952 and parameters: {'learning_rate': 0.0028115176530731398, 'max_depth': 3, 'subsample': 0.9957136489073982, 'colsample_bytree': 0.3105616529542944, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 112 finished with value: 0.6552380952380952 and parameters: {'learning_rate': 0.0027733504320590564, 'max_depth': 3, 'subsample': 0.9814310361417692, 'colsample_bytree': 0.3153750021629029, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 113 finished with value: 0.6384523809523809 and parameters: {'learning_rate': 0.0036831988834048744, 'max_depth': 3, 'subsample': 0.9997071936567774, 'colsample_bytree': 0.29452238223883626, 'min_child_weight': 3}. Best is trial 109 with value: 0.67.
Trial 114 finished with value: 0.6602380952380951 and parameters: {'learning_rate': 0.0031617013994635736, 'max_depth': 3, 'subsample': 0.9527251997502347, 'colsample_bytree': 0.35021590754295834, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 115 finished with value: 0.6557142857142857 and parameters: {'learning_rate': 0.0034844214477625065, 'max_depth': 2, 'subsample': 0.999900550164964, 'colsample_bytree': 0.3239285089677138, 'min_child_weight': 3}. Best is trial 109 with value: 0.67.
Trial 116 finished with value: 0.6407142857142858 and parameters: {'learning_rate': 0.005336421371904288, 'max_depth': 3, 'subsample': 0.9752774821779185, 'colsample_bytree': 0.3751057436267291, 'min_child_weight': 4}. Best is trial 109 with value: 0.67.
Trial 117 finished with value: 0.655595238095238 and parameters: {'learning_rate': 0.004232648729731537, 'max_depth': 4, 'subsample': 0.9246101484069591, 'colsample_bytree': 0.2711957751818863, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 118 finished with value: 0.5848809523809524 and parameters: {'learning_rate': 0.0027284739892187004, 'max_depth': 3, 'subsample': 0.9454294760668174, 'colsample_bytree': 0.32047325460166265, 'min_child_weight': 15}. Best is trial 109 with value: 0.67.
Trial 119 finished with value: 0.640595238095238 and parameters: {'learning_rate': 0.0038505828044545507, 'max_depth': 2, 'subsample': 0.9207026192089788, 'colsample_bytree': 0.3876190394592072, 'min_child_weight': 4}. Best is trial 109 with value: 0.67.
Trial 120 finished with value: 0.6578571428571427 and parameters: {'learning_rate': 0.003044266959736828, 'max_depth': 3, 'subsample': 0.9683586173163394, 'colsample_bytree': 0.2932298103743621, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 121 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.0033331082425323132, 'max_depth': 3, 'subsample': 0.9588022741650024, 'colsample_bytree': 0.35383779644160046, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 122 finished with value: 0.6527380952380952 and parameters: {'learning_rate': 0.0025424591637807407, 'max_depth': 3, 'subsample': 0.9596438981816567, 'colsample_bytree': 0.3605335517748534, 'min_child_weight': 3}. Best is trial 109 with value: 0.67.
Trial 123 finished with value: 0.6648809523809525 and parameters: {'learning_rate': 0.00320404500956365, 'max_depth': 3, 'subsample': 0.9793816679257682, 'colsample_bytree': 0.3377171557209785, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 124 finished with value: 0.6628571428571428 and parameters: {'learning_rate': 0.003392760989253166, 'max_depth': 4, 'subsample': 0.9790637907347108, 'colsample_bytree': 0.41165465515267063, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 125 finished with value: 0.638452380952381 and parameters: {'learning_rate': 0.0034148118388843064, 'max_depth': 4, 'subsample': 0.9108290333985757, 'colsample_bytree': 0.41083449067570693, 'min_child_weight': 3}. Best is trial 109 with value: 0.67.
Trial 126 finished with value: 0.6359523809523809 and parameters: {'learning_rate': 0.0044422955461876365, 'max_depth': 4, 'subsample': 0.9772181049899855, 'colsample_bytree': 0.4378028563144406, 'min_child_weight': 3}. Best is trial 109 with value: 0.67.
Trial 127 finished with value: 0.6117857142857142 and parameters: {'learning_rate': 0.0051041773209805465, 'max_depth': 2, 'subsample': 0.9355573528313877, 'colsample_bytree': 0.3805827742980607, 'min_child_weight': 5}. Best is trial 109 with value: 0.67.
Trial 128 finished with value: 0.6530952380952381 and parameters: {'learning_rate': 0.0046952745433944745, 'max_depth': 4, 'subsample': 0.9764926507841067, 'colsample_bytree': 0.3371847313041394, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 129 finished with value: 0.6653571428571428 and parameters: {'learning_rate': 0.0040507915469940245, 'max_depth': 3, 'subsample': 0.9039925652288798, 'colsample_bytree': 0.41055367871758625, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 130 finished with value: 0.6604761904761904 and parameters: {'learning_rate': 0.004081456079104989, 'max_depth': 3, 'subsample': 0.9152758856358233, 'colsample_bytree': 0.4100018809670005, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 131 finished with value: 0.6579761904761905 and parameters: {'learning_rate': 0.003561523564360239, 'max_depth': 3, 'subsample': 0.9070259635247584, 'colsample_bytree': 0.41103756422338855, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 132 finished with value: 0.6089285714285715 and parameters: {'learning_rate': 0.004030025056136696, 'max_depth': 1, 'subsample': 0.93286861052717, 'colsample_bytree': 0.44387881935298495, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 133 finished with value: 0.6629761904761904 and parameters: {'learning_rate': 0.004311700598823079, 'max_depth': 3, 'subsample': 0.8933509962291506, 'colsample_bytree': 0.4282438664737661, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 134 finished with value: 0.5973809523809523 and parameters: {'learning_rate': 0.0060297528897512885, 'max_depth': 3, 'subsample': 0.958335657547881, 'colsample_bytree': 0.4316914107696603, 'min_child_weight': 9}. Best is trial 109 with value: 0.67.
Trial 135 finished with value: 0.6553571428571429 and parameters: {'learning_rate': 0.0037117925964914728, 'max_depth': 5, 'subsample': 0.8895411862501983, 'colsample_bytree': 0.3831093403940185, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 136 finished with value: 0.6604761904761903 and parameters: {'learning_rate': 0.004493728752419941, 'max_depth': 2, 'subsample': 0.9441079633407103, 'colsample_bytree': 0.4600759501088132, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 137 finished with value: 0.6554761904761903 and parameters: {'learning_rate': 0.0032524524296994807, 'max_depth': 4, 'subsample': 0.9674901620293171, 'colsample_bytree': 0.3466569799356697, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 138 finished with value: 0.6677380952380951 and parameters: {'learning_rate': 0.004840580810367378, 'max_depth': 3, 'subsample': 0.8939398956919798, 'colsample_bytree': 0.3916766781963083, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 139 finished with value: 0.660595238095238 and parameters: {'learning_rate': 0.0049004883846069415, 'max_depth': 3, 'subsample': 0.8970571858170018, 'colsample_bytree': 0.3953502855281834, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 140 finished with value: 0.6604761904761904 and parameters: {'learning_rate': 0.003967509194043246, 'max_depth': 3, 'subsample': 0.9239626767159256, 'colsample_bytree': 0.40069844885140676, 'min_child_weight': 1}. Best is trial 109 with value: 0.67.
Trial 141 finished with value: 0.6604761904761903 and parameters: {'learning_rate': 0.0049774992785267215, 'max_depth': 3, 'subsample': 0.895900926772553, 'colsample_bytree': 0.41702395074247806, 'min_child_weight': 2}. Best is trial 109 with value: 0.67.
Trial 142 finished with value: 0.6701190476190476 and parameters: {'learning_rate': 0.00429498220566705, 'max_depth': 3, 'subsample': 0.9768262955354425, 'colsample_bytree': 0.3953171459622521, 'min_child_weight': 2}. Best is trial 142 with value: 0.6701190476190476.
Trial 143 finished with value: 0.6457142857142856 and parameters: {'learning_rate': 0.003529838386623517, 'max_depth': 3, 'subsample': 0.9775214210194703, 'colsample_bytree': 0.37764902626961044, 'min_child_weight': 3}. Best is trial 142 with value: 0.6701190476190476.
Trial 144 finished with value: 0.6652380952380953 and parameters: {'learning_rate': 0.004333907286529326, 'max_depth': 3, 'subsample': 0.9983291829750734, 'colsample_bytree': 0.4277279992534924, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 145 finished with value: 0.6676190476190477 and parameters: {'learning_rate': 0.004349863625201657, 'max_depth': 2, 'subsample': 0.999485868762746, 'colsample_bytree': 0.4216820463380369, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 146 finished with value: 0.67 and parameters: {'learning_rate': 0.004338574101763586, 'max_depth': 2, 'subsample': 0.9991130596615209, 'colsample_bytree': 0.4425013372209789, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 147 finished with value: 0.6138095238095238 and parameters: {'learning_rate': 0.004424594016004928, 'max_depth': 1, 'subsample': 0.9667830617533856, 'colsample_bytree': 0.4562747194349197, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 148 finished with value: 0.6651190476190476 and parameters: {'learning_rate': 0.005912154122753064, 'max_depth': 2, 'subsample': 0.9407409879723759, 'colsample_bytree': 0.4733981075046661, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 149 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.005605257120920595, 'max_depth': 2, 'subsample': 0.9393295020950833, 'colsample_bytree': 0.4336705158287525, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 150 finished with value: 0.6675 and parameters: {'learning_rate': 0.005850922827026122, 'max_depth': 2, 'subsample': 0.9353831478106609, 'colsample_bytree': 0.485012755923178, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 151 finished with value: 0.6675 and parameters: {'learning_rate': 0.006031352642380749, 'max_depth': 2, 'subsample': 0.9382891494585077, 'colsample_bytree': 0.48456875258160576, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 152 finished with value: 0.6651190476190476 and parameters: {'learning_rate': 0.006045355920084084, 'max_depth': 2, 'subsample': 0.9418304161098752, 'colsample_bytree': 0.4874764080674135, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 153 finished with value: 0.6675 and parameters: {'learning_rate': 0.005989654977648724, 'max_depth': 2, 'subsample': 0.9373453358899441, 'colsample_bytree': 0.4824769723497699, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 154 finished with value: 0.6602380952380952 and parameters: {'learning_rate': 0.007128837888209284, 'max_depth': 2, 'subsample': 0.9248559216670414, 'colsample_bytree': 0.4773317857904286, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 155 finished with value: 0.6285714285714286 and parameters: {'learning_rate': 0.005360090781873029, 'max_depth': 1, 'subsample': 0.9972721931422907, 'colsample_bytree': 0.5156873462241793, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 156 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.005738351994483568, 'max_depth': 2, 'subsample': 0.9515912366972296, 'colsample_bytree': 0.4542561109174689, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 157 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.005598704581615067, 'max_depth': 2, 'subsample': 0.9520003995589335, 'colsample_bytree': 0.45388294600869455, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 158 finished with value: 0.6602380952380951 and parameters: {'learning_rate': 0.006690867146361457, 'max_depth': 2, 'subsample': 0.9138627253310656, 'colsample_bytree': 0.454924111482056, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 159 finished with value: 0.6652380952380952 and parameters: {'learning_rate': 0.00565036029047108, 'max_depth': 2, 'subsample': 0.9551040351739885, 'colsample_bytree': 0.5081271751358625, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 160 finished with value: 0.6359523809523809 and parameters: {'learning_rate': 0.005564211777225456, 'max_depth': 1, 'subsample': 0.8758980189345793, 'colsample_bytree': 0.48290887773251523, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 161 finished with value: 0.6603571428571428 and parameters: {'learning_rate': 0.004815738402196016, 'max_depth': 2, 'subsample': 0.95481514485723, 'colsample_bytree': 0.5088135980060926, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 162 finished with value: 0.6651190476190476 and parameters: {'learning_rate': 0.006523234516363822, 'max_depth': 2, 'subsample': 0.935435343430216, 'colsample_bytree': 0.525829845313882, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 163 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.00561108086881253, 'max_depth': 2, 'subsample': 0.957573097369609, 'colsample_bytree': 0.49782950638383366, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 164 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.00497247658890152, 'max_depth': 2, 'subsample': 0.9630565266284066, 'colsample_bytree': 0.443301265577171, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 165 finished with value: 0.5972619047619048 and parameters: {'learning_rate': 0.004959843273495643, 'max_depth': 2, 'subsample': 0.9992840924913066, 'colsample_bytree': 0.4656798451292908, 'min_child_weight': 13}. Best is trial 142 with value: 0.6701190476190476.
Trial 166 finished with value: 0.6627380952380952 and parameters: {'learning_rate': 0.007291061493254398, 'max_depth': 2, 'subsample': 0.9634790646823073, 'colsample_bytree': 0.45173579191093866, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 167 finished with value: 0.6434523809523809 and parameters: {'learning_rate': 0.0063343338913038165, 'max_depth': 1, 'subsample': 0.9117785876648848, 'colsample_bytree': 0.4996964470524893, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 168 finished with value: 0.6578571428571427 and parameters: {'learning_rate': 0.008327949186209991, 'max_depth': 2, 'subsample': 0.9639617112851799, 'colsample_bytree': 0.5377657365089847, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 169 finished with value: 0.6699999999999998 and parameters: {'learning_rate': 0.005155406942697192, 'max_depth': 2, 'subsample': 0.9251343747721932, 'colsample_bytree': 0.4798109748690568, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 170 finished with value: 0.6651190476190475 and parameters: {'learning_rate': 0.005123518446276658, 'max_depth': 2, 'subsample': 0.9253214786027949, 'colsample_bytree': 0.480445344531201, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 171 finished with value: 0.6651190476190476 and parameters: {'learning_rate': 0.004876962508686244, 'max_depth': 2, 'subsample': 0.9751923804986722, 'colsample_bytree': 0.4459877962470859, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 172 finished with value: 0.6628571428571428 and parameters: {'learning_rate': 0.004502430040169609, 'max_depth': 2, 'subsample': 0.9497260205690673, 'colsample_bytree': 0.46813259783967365, 'min_child_weight': 1}. Best is trial 142 with value: 0.6701190476190476.
Trial 173 finished with value: 0.6747619047619047 and parameters: {'learning_rate': 0.005587095704838504, 'max_depth': 2, 'subsample': 0.9812403851561908, 'colsample_bytree': 0.49786619739090865, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 174 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.005731253194801939, 'max_depth': 2, 'subsample': 0.9994403108138321, 'colsample_bytree': 0.4984163270382568, 'min_child_weight': 1}. Best is trial 173 with value: 0.6747619047619047.
Trial 175 finished with value: 0.6699999999999999 and parameters: {'learning_rate': 0.005609316790894892, 'max_depth': 2, 'subsample': 0.9806961784222004, 'colsample_bytree': 0.49647914430459317, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 176 finished with value: 0.6747619047619047 and parameters: {'learning_rate': 0.005555031923082834, 'max_depth': 2, 'subsample': 0.9816543060863944, 'colsample_bytree': 0.5246390451817535, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 177 finished with value: 0.6309523809523809 and parameters: {'learning_rate': 0.005442883077601509, 'max_depth': 1, 'subsample': 0.979625564898398, 'colsample_bytree': 0.5579789391465705, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 178 finished with value: 0.6652380952380951 and parameters: {'learning_rate': 0.006543351867918274, 'max_depth': 2, 'subsample': 0.9790534311368674, 'colsample_bytree': 0.5189853776460842, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 179 finished with value: 0.6725 and parameters: {'learning_rate': 0.005834289080698267, 'max_depth': 2, 'subsample': 0.9819339574820078, 'colsample_bytree': 0.49955480672307623, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 180 finished with value: 0.630952380952381 and parameters: {'learning_rate': 0.005399133785843615, 'max_depth': 1, 'subsample': 0.9989030667806252, 'colsample_bytree': 0.5456853273694733, 'min_child_weight': 8}. Best is trial 173 with value: 0.6747619047619047.
Trial 181 finished with value: 0.6725 and parameters: {'learning_rate': 0.006051996503709189, 'max_depth': 2, 'subsample': 0.9792650158955224, 'colsample_bytree': 0.49677174454051626, 'min_child_weight': 2}. Best is trial 173 with value: 0.6747619047619047.
Trial 182 finished with value: 0.6771428571428572 and parameters: {'learning_rate': 0.005102526970639764, 'max_depth': 2, 'subsample': 0.9802199511834219, 'colsample_bytree': 0.5040893101729162, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 183 finished with value: 0.6722619047619047 and parameters: {'learning_rate': 0.004778202575477357, 'max_depth': 2, 'subsample': 0.9830353747299923, 'colsample_bytree': 0.507801012564905, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 184 finished with value: 0.6482142857142857 and parameters: {'learning_rate': 0.005149007891933621, 'max_depth': 2, 'subsample': 0.9705856477061191, 'colsample_bytree': 0.5039474177060208, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 185 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.004791984203651161, 'max_depth': 2, 'subsample': 0.9990336023738315, 'colsample_bytree': 0.5291222209672783, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 186 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.004717142755787086, 'max_depth': 2, 'subsample': 0.9816257380821481, 'colsample_bytree': 0.529095173727174, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 187 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.004875742515201556, 'max_depth': 2, 'subsample': 0.9996348817524418, 'colsample_bytree': 0.5297597166073145, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 188 finished with value: 0.6458333333333333 and parameters: {'learning_rate': 0.00458547009023981, 'max_depth': 2, 'subsample': 0.9972185992177002, 'colsample_bytree': 0.532931651921668, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 189 finished with value: 0.6771428571428572 and parameters: {'learning_rate': 0.004714552861121883, 'max_depth': 2, 'subsample': 0.9859954935147957, 'colsample_bytree': 0.5639859320424145, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 190 finished with value: 0.6698809523809524 and parameters: {'learning_rate': 0.00479700618957657, 'max_depth': 2, 'subsample': 0.9840940902065032, 'colsample_bytree': 0.5676899935909775, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 191 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.004743279473617548, 'max_depth': 2, 'subsample': 0.978867883195156, 'colsample_bytree': 0.5636178445582252, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 192 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.004774734302536075, 'max_depth': 2, 'subsample': 0.9790156500445715, 'colsample_bytree': 0.5624982167910607, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 193 finished with value: 0.6482142857142856 and parameters: {'learning_rate': 0.0046556810866889625, 'max_depth': 2, 'subsample': 0.9800942946901424, 'colsample_bytree': 0.5556548457396465, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 194 finished with value: 0.6677380952380951 and parameters: {'learning_rate': 0.006528716101346877, 'max_depth': 2, 'subsample': 0.9775866973335766, 'colsample_bytree': 0.5302197116881063, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 195 finished with value: 0.6723809523809523 and parameters: {'learning_rate': 0.005356790158948902, 'max_depth': 2, 'subsample': 0.981126314686058, 'colsample_bytree': 0.5692099065925651, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 196 finished with value: 0.6747619047619048 and parameters: {'learning_rate': 0.005269273194136068, 'max_depth': 2, 'subsample': 0.9679080778891991, 'colsample_bytree': 0.5863652543945262, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 197 finished with value: 0.6213095238095239 and parameters: {'learning_rate': 0.005277344923794504, 'max_depth': 1, 'subsample': 0.9699122212590753, 'colsample_bytree': 0.5916499811114535, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 198 finished with value: 0.6360714285714284 and parameters: {'learning_rate': 0.006035885841565866, 'max_depth': 2, 'subsample': 0.9845349795428318, 'colsample_bytree': 0.5760935775834385, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 199 finished with value: 0.6723809523809524 and parameters: {'learning_rate': 0.004569255325728449, 'max_depth': 2, 'subsample': 0.9654205264908047, 'colsample_bytree': 0.5453658181149041, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 200 finished with value: 0.6675 and parameters: {'learning_rate': 0.004761112845169741, 'max_depth': 2, 'subsample': 0.9995319451288993, 'colsample_bytree': 0.588369672805805, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 201 finished with value: 0.6628571428571427 and parameters: {'learning_rate': 0.004233504557693781, 'max_depth': 2, 'subsample': 0.9687814981221952, 'colsample_bytree': 0.539067046075681, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 202 finished with value: 0.6725 and parameters: {'learning_rate': 0.0054257834701366275, 'max_depth': 2, 'subsample': 0.9633084417043498, 'colsample_bytree': 0.5239881860323726, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 203 finished with value: 0.67 and parameters: {'learning_rate': 0.0051432294122647085, 'max_depth': 2, 'subsample': 0.9624849030523205, 'colsample_bytree': 0.5192764359267679, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 204 finished with value: 0.650595238095238 and parameters: {'learning_rate': 0.00454050237045389, 'max_depth': 2, 'subsample': 0.9601687082308723, 'colsample_bytree': 0.5470159933520351, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 205 finished with value: 0.6533333333333333 and parameters: {'learning_rate': 0.00514143315858032, 'max_depth': 2, 'subsample': 0.6849855140719394, 'colsample_bytree': 0.5738404294208131, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 206 finished with value: 0.6338095238095238 and parameters: {'learning_rate': 0.004171924262589894, 'max_depth': 2, 'subsample': 0.5646053568351698, 'colsample_bytree': 0.5276151052602487, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 207 finished with value: 0.6214285714285714 and parameters: {'learning_rate': 0.005253217134505212, 'max_depth': 2, 'subsample': 0.42332953676805524, 'colsample_bytree': 0.5207198516961395, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 208 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.004575209319117745, 'max_depth': 2, 'subsample': 0.9580048351392194, 'colsample_bytree': 0.5535339120463293, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 209 finished with value: 0.6676190476190476 and parameters: {'learning_rate': 0.006942011854917339, 'max_depth': 2, 'subsample': 0.9737112422642169, 'colsample_bytree': 0.6097599790389954, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 210 finished with value: 0.5845238095238094 and parameters: {'learning_rate': 0.006285017588317957, 'max_depth': 1, 'subsample': 0.7387423241149494, 'colsample_bytree': 0.5167993747590137, 'min_child_weight': 19}. Best is trial 182 with value: 0.6771428571428572.
Trial 211 finished with value: 0.6389285714285715 and parameters: {'learning_rate': 0.005650927130007921, 'max_depth': 2, 'subsample': 0.6472577908192698, 'colsample_bytree': 0.5415148658133763, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 212 finished with value: 0.6457142857142857 and parameters: {'learning_rate': 0.004958093566178206, 'max_depth': 2, 'subsample': 0.9993547270223155, 'colsample_bytree': 0.5640672980652717, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 213 finished with value: 0.6628571428571426 and parameters: {'learning_rate': 0.0077212760260007346, 'max_depth': 2, 'subsample': 0.9815448256410547, 'colsample_bytree': 0.5137083686365845, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 214 finished with value: 0.6726190476190474 and parameters: {'learning_rate': 0.005859876928181088, 'max_depth': 2, 'subsample': 0.9639845789933829, 'colsample_bytree': 0.5039106346457417, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 215 finished with value: 0.6604761904761903 and parameters: {'learning_rate': 0.004100601994960522, 'max_depth': 2, 'subsample': 0.9581784701395154, 'colsample_bytree': 0.5377504417499728, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 216 finished with value: 0.6195238095238096 and parameters: {'learning_rate': 0.006105387895228798, 'max_depth': 2, 'subsample': 0.5169965927973862, 'colsample_bytree': 0.5831184568108214, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 217 finished with value: 0.6628571428571428 and parameters: {'learning_rate': 0.004610198005343906, 'max_depth': 2, 'subsample': 0.9510864160965335, 'colsample_bytree': 0.5169845645803072, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 218 finished with value: 0.6436904761904763 and parameters: {'learning_rate': 0.005300721915175091, 'max_depth': 2, 'subsample': 0.5978678861710125, 'colsample_bytree': 0.5641939619115259, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 219 finished with value: 0.6628571428571426 and parameters: {'learning_rate': 0.006890257709172407, 'max_depth': 2, 'subsample': 0.9669688559171787, 'colsample_bytree': 0.6017955981019144, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
Trial 220 finished with value: 0.6483333333333333 and parameters: {'learning_rate': 0.004273432978221259, 'max_depth': 2, 'subsample': 0.9807691632382534, 'colsample_bytree': 0.5520470227499676, 'min_child_weight': 3}. Best is trial 182 with value: 0.6771428571428572.
Trial 221 finished with value: 0.6725 and parameters: {'learning_rate': 0.005751910444868161, 'max_depth': 2, 'subsample': 0.9985213285783429, 'colsample_bytree': 0.5060471480102322, 'min_child_weight': 2}. Best is trial 182 with value: 0.6771428571428572.
