A new study created in memory with name: no-name-9979e359-8e66-4d74-a292-d091b188a7d7
Start optimization.
Trial 0 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 1197, 'max_depth': 1422, 'min_samples_split': 2, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 0 with value: 0.5819047619047618.
Trial 124 finished with value: 0.5723809523809524 and parameters: {'n_estimators': 748, 'max_depth': 1806, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 125 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 674, 'max_depth': 1918, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 126 finished with value: 0.5770238095238096 and parameters: {'n_estimators': 983, 'max_depth': 1720, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 127 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 879, 'max_depth': 1758, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 128 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 665, 'max_depth': 1860, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 129 finished with value: 0.5723809523809524 and parameters: {'n_estimators': 514, 'max_depth': 1863, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 130 finished with value: 0.5625 and parameters: {'n_estimators': 562, 'max_depth': 1961, 'min_samples_split': 8, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 131 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 733, 'max_depth': 1786, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 132 finished with value: 0.5822619047619049 and parameters: {'n_estimators': 849, 'max_depth': 1925, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 133 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 666, 'max_depth': 2018, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 134 finished with value: 0.5746428571428571 and parameters: {'n_estimators': 695, 'max_depth': 1688, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 135 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 597, 'max_depth': 1842, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 102 with value: 0.5969047619047619.
Trial 136 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 820, 'max_depth': 1733, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 137 finished with value: 0.584404761904762 and parameters: {'n_estimators': 840, 'max_depth': 1763, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 138 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 953, 'max_depth': 1615, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 139 finished with value: 0.5791666666666666 and parameters: {'n_estimators': 745, 'max_depth': 1728, 'min_samples_split': 9, 'min_samples_leaf': 5, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 140 finished with value: 0.5822619047619046 and parameters: {'n_estimators': 808, 'max_depth': 1815, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 141 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 1003, 'max_depth': 1873, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 142 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 890, 'max_depth': 1865, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 143 finished with value: 0.5747619047619047 and parameters: {'n_estimators': 1019, 'max_depth': 1930, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 144 finished with value: 0.589404761904762 and parameters: {'n_estimators': 710, 'max_depth': 1657, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 145 finished with value: 0.5847619047619048 and parameters: {'n_estimators': 943, 'max_depth': 1879, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 146 finished with value: 0.579404761904762 and parameters: {'n_estimators': 779, 'max_depth': 1803, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 147 finished with value: 0.5942857142857143 and parameters: {'n_estimators': 501, 'max_depth': 1728, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 148 finished with value: 0.5820238095238096 and parameters: {'n_estimators': 454, 'max_depth': 1723, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 149 finished with value: 0.5872619047619047 and parameters: {'n_estimators': 23, 'max_depth': 1768, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 150 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 617, 'max_depth': 1587, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 151 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 265, 'max_depth': 1841, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 152 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 852, 'max_depth': 1689, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 153 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1070, 'max_depth': 1979, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 154 finished with value: 0.5815476190476191 and parameters: {'n_estimators': 536, 'max_depth': 1794, 'min_samples_split': 8, 'min_samples_leaf': 6, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 155 finished with value: 0.5773809523809524 and parameters: {'n_estimators': 478, 'max_depth': 1880, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 156 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 915, 'max_depth': 1747, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 157 finished with value: 0.5719047619047619 and parameters: {'n_estimators': 397, 'max_depth': 1666, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 158 finished with value: 0.5771428571428572 and parameters: {'n_estimators': 1009, 'max_depth': 2046, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 102 with value: 0.5969047619047619.
Trial 159 finished with value: 0.579404761904762 and parameters: {'n_estimators': 647, 'max_depth': 1491, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 160 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 825, 'max_depth': 1944, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 161 finished with value: 0.5747619047619048 and parameters: {'n_estimators': 1388, 'max_depth': 982, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 162 finished with value: 0.5746428571428572 and parameters: {'n_estimators': 1100, 'max_depth': 1824, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 102 with value: 0.5969047619047619.
Trial 163 finished with value: 0.596904761904762 and parameters: {'n_estimators': 1477, 'max_depth': 919, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 164 finished with value: 0.5846428571428571 and parameters: {'n_estimators': 1425, 'max_depth': 881, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 165 finished with value: 0.5870238095238096 and parameters: {'n_estimators': 1481, 'max_depth': 1717, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 166 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 760, 'max_depth': 943, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 167 finished with value: 0.5772619047619048 and parameters: {'n_estimators': 1592, 'max_depth': 1894, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 168 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 709, 'max_depth': 896, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 169 finished with value: 0.5848809523809525 and parameters: {'n_estimators': 974, 'max_depth': 1605, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 170 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 1547, 'max_depth': 1844, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 171 finished with value: 0.5846428571428572 and parameters: {'n_estimators': 1472, 'max_depth': 1785, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 172 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 1164, 'max_depth': 1055, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 173 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 1426, 'max_depth': 488, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 174 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1210, 'max_depth': 1003, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 175 finished with value: 0.5871428571428572 and parameters: {'n_estimators': 1485, 'max_depth': 1202, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 176 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 866, 'max_depth': 760, 'min_samples_split': 7, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 177 finished with value: 0.5897619047619048 and parameters: {'n_estimators': 1333, 'max_depth': 1749, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 178 finished with value: 0.5820238095238096 and parameters: {'n_estimators': 589, 'max_depth': 327, 'min_samples_split': 14, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 179 finished with value: 0.5870238095238095 and parameters: {'n_estimators': 793, 'max_depth': 814, 'min_samples_split': 9, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 180 finished with value: 0.584047619047619 and parameters: {'n_estimators': 905, 'max_depth': 1830, 'min_samples_split': 3, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 181 finished with value: 0.579404761904762 and parameters: {'n_estimators': 1518, 'max_depth': 1425, 'min_samples_split': 15, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 182 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1565, 'max_depth': 1348, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 183 finished with value: 0.5795238095238096 and parameters: {'n_estimators': 1640, 'max_depth': 1285, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 184 finished with value: 0.5817857142857142 and parameters: {'n_estimators': 1408, 'max_depth': 1261, 'min_samples_split': 11, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 185 finished with value: 0.5796428571428572 and parameters: {'n_estimators': 1455, 'max_depth': 1546, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 186 finished with value: 0.5746428571428572 and parameters: {'n_estimators': 1728, 'max_depth': 1396, 'min_samples_split': 16, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 163 with value: 0.596904761904762.
Trial 187 finished with value: 0.5775 and parameters: {'n_estimators': 1027, 'max_depth': 1328, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 188 finished with value: 0.5817857142857144 and parameters: {'n_estimators': 1507, 'max_depth': 935, 'min_samples_split': 15, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 189 finished with value: 0.5692857142857143 and parameters: {'n_estimators': 673, 'max_depth': 1789, 'min_samples_split': 14, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 190 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 731, 'max_depth': 1155, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 191 finished with value: 0.5767857142857145 and parameters: {'n_estimators': 1347, 'max_depth': 1749, 'min_samples_split': 10, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 192 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1299, 'max_depth': 1665, 'min_samples_split': 10, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 193 finished with value: 0.5745238095238095 and parameters: {'n_estimators': 1271, 'max_depth': 1697, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 194 finished with value: 0.5797619047619047 and parameters: {'n_estimators': 1387, 'max_depth': 1732, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 195 finished with value: 0.5892857142857142 and parameters: {'n_estimators': 1325, 'max_depth': 1866, 'min_samples_split': 9, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 196 finished with value: 0.5797619047619048 and parameters: {'n_estimators': 1440, 'max_depth': 1767, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 197 finished with value: 0.5942857142857142 and parameters: {'n_estimators': 2039, 'max_depth': 1224, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 198 finished with value: 0.5847619047619048 and parameters: {'n_estimators': 1993, 'max_depth': 1268, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 199 finished with value: 0.5722619047619049 and parameters: {'n_estimators': 166, 'max_depth': 1218, 'min_samples_split': 8, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 200 finished with value: 0.5669047619047619 and parameters: {'n_estimators': 2021, 'max_depth': 1104, 'min_samples_split': 11, 'min_samples_leaf': 4, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 201 finished with value: 0.5944047619047619 and parameters: {'n_estimators': 2028, 'max_depth': 1376, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 202 finished with value: 0.5821428571428571 and parameters: {'n_estimators': 2031, 'max_depth': 1313, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 203 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1923, 'max_depth': 1371, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 204 finished with value: 0.576904761904762 and parameters: {'n_estimators': 2047, 'max_depth': 1445, 'min_samples_split': 12, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 205 finished with value: 0.584404761904762 and parameters: {'n_estimators': 1963, 'max_depth': 1344, 'min_samples_split': 13, 'min_samples_leaf': 2, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 206 finished with value: 0.5944047619047619 and parameters: {'n_estimators': 823, 'max_depth': 1196, 'min_samples_split': 12, 'min_samples_leaf': 3, 'criterion': 'entropy'}. Best is trial 163 with value: 0.596904761904762.
Trial 207 finished with value: 0.5991666666666667 and parameters: {'n_estimators': 834, 'max_depth': 1202, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 208 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 829, 'max_depth': 1210, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 209 finished with value: 0.5744047619047619 and parameters: {'n_estimators': 831, 'max_depth': 1185, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 210 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 780, 'max_depth': 1227, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 211 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 849, 'max_depth': 1179, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 212 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 937, 'max_depth': 1256, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 213 finished with value: 0.5847619047619048 and parameters: {'n_estimators': 824, 'max_depth': 1155, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 214 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 881, 'max_depth': 1231, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 215 finished with value: 0.5823809523809524 and parameters: {'n_estimators': 794, 'max_depth': 1203, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 216 finished with value: 0.5750000000000001 and parameters: {'n_estimators': 747, 'max_depth': 1276, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 217 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 923, 'max_depth': 1124, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 218 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 978, 'max_depth': 1826, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 219 finished with value: 0.5598809523809524 and parameters: {'n_estimators': 714, 'max_depth': 1899, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'gini'}. Best is trial 207 with value: 0.5991666666666667.
Trial 220 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 2005, 'max_depth': 1970, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 221 finished with value: 0.5846428571428572 and parameters: {'n_estimators': 1995, 'max_depth': 1928, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 222 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 2045, 'max_depth': 2008, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 223 finished with value: 0.5922619047619048 and parameters: {'n_estimators': 1877, 'max_depth': 1996, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 224 finished with value: 0.5917857142857144 and parameters: {'n_estimators': 1938, 'max_depth': 1987, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 225 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 1920, 'max_depth': 2008, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 226 finished with value: 0.5848809523809524 and parameters: {'n_estimators': 1879, 'max_depth': 1961, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 227 finished with value: 0.5822619047619048 and parameters: {'n_estimators': 1957, 'max_depth': 1981, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 228 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 1990, 'max_depth': 1956, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 229 finished with value: 0.5845238095238094 and parameters: {'n_estimators': 1988, 'max_depth': 1987, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 230 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 2000, 'max_depth': 1956, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 231 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 1920, 'max_depth': 2048, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 232 finished with value: 0.594404761904762 and parameters: {'n_estimators': 1949, 'max_depth': 2001, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 233 finished with value: 0.5845238095238096 and parameters: {'n_estimators': 1956, 'max_depth': 1938, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 234 finished with value: 0.5796428571428571 and parameters: {'n_estimators': 2012, 'max_depth': 1998, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 235 finished with value: 0.5672619047619049 and parameters: {'n_estimators': 1963, 'max_depth': 1951, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 236 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 1870, 'max_depth': 2023, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 237 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 2043, 'max_depth': 14, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 238 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 2016, 'max_depth': 63, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 239 finished with value: 0.5869047619047619 and parameters: {'n_estimators': 2025, 'max_depth': 1888, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 240 finished with value: 0.5871428571428573 and parameters: {'n_estimators': 2048, 'max_depth': 374, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 241 finished with value: 0.5920238095238096 and parameters: {'n_estimators': 1941, 'max_depth': 534, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 242 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1969, 'max_depth': 251, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 243 finished with value: 0.5847619047619048 and parameters: {'n_estimators': 1983, 'max_depth': 1912, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 244 finished with value: 0.5723809523809524 and parameters: {'n_estimators': 1907, 'max_depth': 1801, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 245 finished with value: 0.5894047619047619 and parameters: {'n_estimators': 2047, 'max_depth': 677, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 246 finished with value: 0.5820238095238095 and parameters: {'n_estimators': 1993, 'max_depth': 132, 'min_samples_split': 11, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 247 finished with value: 0.5871428571428573 and parameters: {'n_estimators': 1943, 'max_depth': 1204, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 248 finished with value: 0.5821428571428572 and parameters: {'n_estimators': 1991, 'max_depth': 132, 'min_samples_split': 12, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
Trial 249 finished with value: 0.5667857142857142 and parameters: {'n_estimators': 772, 'max_depth': 6, 'min_samples_split': 13, 'min_samples_leaf': 1, 'criterion': 'entropy'}. Best is trial 207 with value: 0.5991666666666667.
