A new study created in memory with name: no-name-17abffd7-4634-4ab1-a48d-2142b1ad262a
Start optimization.
Trial 0 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 203, 'criterion': 'gini', 'max_features': 362, 'min_samples_split': 7, 'min_samples_leaf': 7}. Best is trial 0 with value: 0.5869047619047618.
Trial 128 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 401, 'criterion': 'log_loss', 'max_features': 84, 'min_samples_split': 24, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 129 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 384, 'criterion': 'log_loss', 'max_features': 103, 'min_samples_split': 32, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 130 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 485, 'criterion': 'log_loss', 'max_features': 92, 'min_samples_split': 12, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 131 finished with value: 0.5940476190476192 and parameters: {'n_estimators': 251, 'criterion': 'entropy', 'max_features': 116, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 132 finished with value: 0.5991666666666666 and parameters: {'n_estimators': 298, 'criterion': 'entropy', 'max_features': 126, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 133 finished with value: 0.5869047619047618 and parameters: {'n_estimators': 278, 'criterion': 'entropy', 'max_features': 77, 'min_samples_split': 17, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 134 finished with value: 0.5644047619047619 and parameters: {'n_estimators': 267, 'criterion': 'log_loss', 'max_features': 81, 'min_samples_split': 20, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 135 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 154, 'criterion': 'entropy', 'max_features': 263, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 136 finished with value: 0.586547619047619 and parameters: {'n_estimators': 315, 'criterion': 'log_loss', 'max_features': 99, 'min_samples_split': 13, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 137 finished with value: 0.5942857142857142 and parameters: {'n_estimators': 338, 'criterion': 'log_loss', 'max_features': 71, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 138 finished with value: 0.589047619047619 and parameters: {'n_estimators': 323, 'criterion': 'entropy', 'max_features': 108, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 139 finished with value: 0.6060714285714285 and parameters: {'n_estimators': 210, 'criterion': 'log_loss', 'max_features': 299, 'min_samples_split': 25, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 140 finished with value: 0.5839285714285716 and parameters: {'n_estimators': 456, 'criterion': 'log_loss', 'max_features': 302, 'min_samples_split': 26, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 141 finished with value: 0.6035714285714285 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 242, 'min_samples_split': 30, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 142 finished with value: 0.5819047619047618 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 250, 'min_samples_split': 30, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 143 finished with value: 0.5989285714285713 and parameters: {'n_estimators': 198, 'criterion': 'log_loss', 'max_features': 292, 'min_samples_split': 23, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 144 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 209, 'criterion': 'log_loss', 'max_features': 229, 'min_samples_split': 33, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 145 finished with value: 0.576547619047619 and parameters: {'n_estimators': 224, 'criterion': 'log_loss', 'max_features': 204, 'min_samples_split': 28, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 146 finished with value: 0.5966666666666666 and parameters: {'n_estimators': 213, 'criterion': 'log_loss', 'max_features': 249, 'min_samples_split': 21, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 147 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 407, 'criterion': 'log_loss', 'max_features': 272, 'min_samples_split': 25, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 148 finished with value: 0.589047619047619 and parameters: {'n_estimators': 439, 'criterion': 'log_loss', 'max_features': 232, 'min_samples_split': 30, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 149 finished with value: 0.5989285714285713 and parameters: {'n_estimators': 221, 'criterion': 'log_loss', 'max_features': 216, 'min_samples_split': 38, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 150 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 193, 'criterion': 'log_loss', 'max_features': 271, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 151 finished with value: 0.5864285714285714 and parameters: {'n_estimators': 181, 'criterion': 'entropy', 'max_features': 53, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 152 finished with value: 0.5867857142857141 and parameters: {'n_estimators': 232, 'criterion': 'log_loss', 'max_features': 335, 'min_samples_split': 25, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 153 finished with value: 0.6011904761904762 and parameters: {'n_estimators': 296, 'criterion': 'gini', 'max_features': 314, 'min_samples_split': 28, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 154 finished with value: 0.5915476190476191 and parameters: {'n_estimators': 358, 'criterion': 'gini', 'max_features': 297, 'min_samples_split': 35, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 155 finished with value: 0.591547619047619 and parameters: {'n_estimators': 420, 'criterion': 'gini', 'max_features': 163, 'min_samples_split': 28, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 156 finished with value: 0.5816666666666668 and parameters: {'n_estimators': 295, 'criterion': 'gini', 'max_features': 325, 'min_samples_split': 27, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 157 finished with value: 0.5741666666666667 and parameters: {'n_estimators': 388, 'criterion': 'gini', 'max_features': 263, 'min_samples_split': 32, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 158 finished with value: 0.579047619047619 and parameters: {'n_estimators': 497, 'criterion': 'gini', 'max_features': 68, 'min_samples_split': 24, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 159 finished with value: 0.5840476190476189 and parameters: {'n_estimators': 474, 'criterion': 'log_loss', 'max_features': 309, 'min_samples_split': 41, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 160 finished with value: 0.5939285714285715 and parameters: {'n_estimators': 373, 'criterion': 'log_loss', 'max_features': 353, 'min_samples_split': 21, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 161 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 275, 'criterion': 'entropy', 'max_features': 89, 'min_samples_split': 31, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 162 finished with value: 0.596547619047619 and parameters: {'n_estimators': 241, 'criterion': 'log_loss', 'max_features': 83, 'min_samples_split': 17, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 163 finished with value: 0.5721428571428571 and parameters: {'n_estimators': 125, 'criterion': 'entropy', 'max_features': 286, 'min_samples_split': 12, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 164 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 329, 'criterion': 'log_loss', 'max_features': 193, 'min_samples_split': 11, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 165 finished with value: 0.5841666666666667 and parameters: {'n_estimators': 296, 'criterion': 'log_loss', 'max_features': 119, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 166 finished with value: 0.5986904761904762 and parameters: {'n_estimators': 315, 'criterion': 'log_loss', 'max_features': 239, 'min_samples_split': 23, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 167 finished with value: 0.591547619047619 and parameters: {'n_estimators': 352, 'criterion': 'entropy', 'max_features': 95, 'min_samples_split': 20, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 168 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 209, 'criterion': 'gini', 'max_features': 73, 'min_samples_split': 26, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 169 finished with value: 0.596547619047619 and parameters: {'n_estimators': 250, 'criterion': 'log_loss', 'max_features': 139, 'min_samples_split': 29, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 170 finished with value: 0.6042857142857142 and parameters: {'n_estimators': 286, 'criterion': 'log_loss', 'max_features': 79, 'min_samples_split': 19, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 171 finished with value: 0.5888095238095238 and parameters: {'n_estimators': 308, 'criterion': 'log_loss', 'max_features': 77, 'min_samples_split': 19, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 172 finished with value: 0.5988095238095238 and parameters: {'n_estimators': 266, 'criterion': 'log_loss', 'max_features': 84, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 173 finished with value: 0.5764285714285715 and parameters: {'n_estimators': 284, 'criterion': 'log_loss', 'max_features': 103, 'min_samples_split': 17, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 174 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 429, 'criterion': 'log_loss', 'max_features': 63, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 175 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 225, 'criterion': 'log_loss', 'max_features': 79, 'min_samples_split': 24, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 176 finished with value: 0.5989285714285715 and parameters: {'n_estimators': 217, 'criterion': 'entropy', 'max_features': 255, 'min_samples_split': 18, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 177 finished with value: 0.5766666666666665 and parameters: {'n_estimators': 257, 'criterion': 'log_loss', 'max_features': 213, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 178 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 289, 'criterion': 'log_loss', 'max_features': 94, 'min_samples_split': 34, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 179 finished with value: 0.5916666666666666 and parameters: {'n_estimators': 402, 'criterion': 'log_loss', 'max_features': 88, 'min_samples_split': 26, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 180 finished with value: 0.5870238095238094 and parameters: {'n_estimators': 336, 'criterion': 'entropy', 'max_features': 112, 'min_samples_split': 21, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 181 finished with value: 0.5863095238095237 and parameters: {'n_estimators': 303, 'criterion': 'entropy', 'max_features': 104, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 182 finished with value: 0.5941666666666666 and parameters: {'n_estimators': 142, 'criterion': 'entropy', 'max_features': 183, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 183 finished with value: 0.6089285714285715 and parameters: {'n_estimators': 298, 'criterion': 'entropy', 'max_features': 124, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 184 finished with value: 0.5889285714285715 and parameters: {'n_estimators': 326, 'criterion': 'entropy', 'max_features': 124, 'min_samples_split': 16, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 185 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 318, 'criterion': 'entropy', 'max_features': 59, 'min_samples_split': 19, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 186 finished with value: 0.6011904761904762 and parameters: {'n_estimators': 305, 'criterion': 'log_loss', 'max_features': 98, 'min_samples_split': 17, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 187 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 302, 'criterion': 'log_loss', 'max_features': 98, 'min_samples_split': 17, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 188 finished with value: 0.5816666666666666 and parameters: {'n_estimators': 449, 'criterion': 'log_loss', 'max_features': 91, 'min_samples_split': 20, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 189 finished with value: 0.5841666666666666 and parameters: {'n_estimators': 414, 'criterion': 'log_loss', 'max_features': 69, 'min_samples_split': 28, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 190 finished with value: 0.5917857142857142 and parameters: {'n_estimators': 487, 'criterion': 'log_loss', 'max_features': 84, 'min_samples_split': 23, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 191 finished with value: 0.5942857142857142 and parameters: {'n_estimators': 307, 'criterion': 'log_loss', 'max_features': 105, 'min_samples_split': 15, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 192 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 273, 'criterion': 'log_loss', 'max_features': 225, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 193 finished with value: 0.5985714285714285 and parameters: {'n_estimators': 289, 'criterion': 'entropy', 'max_features': 112, 'min_samples_split': 31, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 194 finished with value: 0.6014285714285715 and parameters: {'n_estimators': 383, 'criterion': 'log_loss', 'max_features': 279, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 195 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 393, 'criterion': 'log_loss', 'max_features': 282, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 196 finished with value: 0.5839285714285715 and parameters: {'n_estimators': 406, 'criterion': 'log_loss', 'max_features': 268, 'min_samples_split': 22, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 197 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 380, 'criterion': 'log_loss', 'max_features': 76, 'min_samples_split': 19, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 198 finished with value: 0.6015476190476191 and parameters: {'n_estimators': 429, 'criterion': 'log_loss', 'max_features': 317, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 199 finished with value: 0.5842857142857143 and parameters: {'n_estimators': 466, 'criterion': 'log_loss', 'max_features': 318, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 200 finished with value: 0.5938095238095238 and parameters: {'n_estimators': 345, 'criterion': 'log_loss', 'max_features': 301, 'min_samples_split': 17, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 201 finished with value: 0.601547619047619 and parameters: {'n_estimators': 427, 'criterion': 'log_loss', 'max_features': 286, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 202 finished with value: 0.589047619047619 and parameters: {'n_estimators': 437, 'criterion': 'log_loss', 'max_features': 338, 'min_samples_split': 20, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 203 finished with value: 0.6040476190476189 and parameters: {'n_estimators': 453, 'criterion': 'log_loss', 'max_features': 249, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 204 finished with value: 0.5939285714285714 and parameters: {'n_estimators': 457, 'criterion': 'log_loss', 'max_features': 287, 'min_samples_split': 18, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 205 finished with value: 0.5986904761904762 and parameters: {'n_estimators': 426, 'criterion': 'log_loss', 'max_features': 241, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 206 finished with value: 0.596547619047619 and parameters: {'n_estimators': 443, 'criterion': 'gini', 'max_features': 252, 'min_samples_split': 25, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 207 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 413, 'criterion': 'log_loss', 'max_features': 276, 'min_samples_split': 3, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 208 finished with value: 0.5842857142857142 and parameters: {'n_estimators': 471, 'criterion': 'log_loss', 'max_features': 313, 'min_samples_split': 16, 'min_samples_leaf': 8}. Best is trial 13 with value: 0.6138095238095238.
Trial 209 finished with value: 0.6011904761904762 and parameters: {'n_estimators': 397, 'criterion': 'log_loss', 'max_features': 260, 'min_samples_split': 21, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 210 finished with value: 0.5941666666666665 and parameters: {'n_estimators': 368, 'criterion': 'log_loss', 'max_features': 290, 'min_samples_split': 19, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 211 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 281, 'criterion': 'log_loss', 'max_features': 366, 'min_samples_split': 17, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 212 finished with value: 0.5939285714285715 and parameters: {'n_estimators': 431, 'criterion': 'log_loss', 'max_features': 235, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 213 finished with value: 0.5989285714285714 and parameters: {'n_estimators': 486, 'criterion': 'log_loss', 'max_features': 267, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 214 finished with value: 0.5865476190476189 and parameters: {'n_estimators': 315, 'criterion': 'log_loss', 'max_features': 326, 'min_samples_split': 23, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.6138095238095238.
Trial 215 finished with value: 0.5838095238095238 and parameters: {'n_estimators': 293, 'criterion': 'log_loss', 'max_features': 204, 'min_samples_split': 12, 'min_samples_leaf': 10}. Best is trial 13 with value: 0.6138095238095238.
Trial 216 finished with value: 0.5964285714285713 and parameters: {'n_estimators': 384, 'criterion': 'log_loss', 'max_features': 222, 'min_samples_split': 16, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 217 finished with value: 0.6013095238095238 and parameters: {'n_estimators': 498, 'criterion': 'log_loss', 'max_features': 131, 'min_samples_split': 20, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 218 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 493, 'criterion': 'log_loss', 'max_features': 305, 'min_samples_split': 20, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 219 finished with value: 0.5866666666666667 and parameters: {'n_estimators': 477, 'criterion': 'gini', 'max_features': 147, 'min_samples_split': 24, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 220 finished with value: 0.5891666666666665 and parameters: {'n_estimators': 456, 'criterion': 'log_loss', 'max_features': 137, 'min_samples_split': 22, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 221 finished with value: 0.594047619047619 and parameters: {'n_estimators': 306, 'criterion': 'log_loss', 'max_features': 127, 'min_samples_split': 18, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 222 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 498, 'criterion': 'log_loss', 'max_features': 166, 'min_samples_split': 13, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 223 finished with value: 0.5863095238095238 and parameters: {'n_estimators': 201, 'criterion': 'log_loss', 'max_features': 247, 'min_samples_split': 20, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 224 finished with value: 0.6038095238095238 and parameters: {'n_estimators': 404, 'criterion': 'log_loss', 'max_features': 152, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 225 finished with value: 0.5915476190476191 and parameters: {'n_estimators': 416, 'criterion': 'log_loss', 'max_features': 131, 'min_samples_split': 26, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 226 finished with value: 0.6015476190476191 and parameters: {'n_estimators': 206, 'criterion': 'log_loss', 'max_features': 121, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 227 finished with value: 0.5964285714285715 and parameters: {'n_estimators': 397, 'criterion': 'log_loss', 'max_features': 133, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 228 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 195, 'criterion': 'log_loss', 'max_features': 158, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 229 finished with value: 0.5722619047619047 and parameters: {'n_estimators': 208, 'criterion': 'log_loss', 'max_features': 117, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 230 finished with value: 0.5771428571428571 and parameters: {'n_estimators': 218, 'criterion': 'log_loss', 'max_features': 144, 'min_samples_split': 12, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 231 finished with value: 0.601547619047619 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 122, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 232 finished with value: 0.5690476190476191 and parameters: {'n_estimators': 203, 'criterion': 'log_loss', 'max_features': 122, 'min_samples_split': 87, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 233 finished with value: 0.5940476190476189 and parameters: {'n_estimators': 211, 'criterion': 'log_loss', 'max_features': 149, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 234 finished with value: 0.6013095238095237 and parameters: {'n_estimators': 500, 'criterion': 'log_loss', 'max_features': 132, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 235 finished with value: 0.5867857142857142 and parameters: {'n_estimators': 405, 'criterion': 'log_loss', 'max_features': 131, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 236 finished with value: 0.5919047619047619 and parameters: {'n_estimators': 431, 'criterion': 'log_loss', 'max_features': 139, 'min_samples_split': 11, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 237 finished with value: 0.5985714285714285 and parameters: {'n_estimators': 214, 'criterion': 'log_loss', 'max_features': 125, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 238 finished with value: 0.5990476190476192 and parameters: {'n_estimators': 205, 'criterion': 'log_loss', 'max_features': 118, 'min_samples_split': 14, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 239 finished with value: 0.5870238095238094 and parameters: {'n_estimators': 190, 'criterion': 'log_loss', 'max_features': 153, 'min_samples_split': 9, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 240 finished with value: 0.5819047619047619 and parameters: {'n_estimators': 200, 'criterion': 'log_loss', 'max_features': 113, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 241 finished with value: 0.5919047619047618 and parameters: {'n_estimators': 482, 'criterion': 'log_loss', 'max_features': 74, 'min_samples_split': 15, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 242 finished with value: 0.5913095238095237 and parameters: {'n_estimators': 500, 'criterion': 'log_loss', 'max_features': 131, 'min_samples_split': 11, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
Trial 243 finished with value: 0.594047619047619 and parameters: {'n_estimators': 465, 'criterion': 'log_loss', 'max_features': 66, 'min_samples_split': 14, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 244 finished with value: 0.594047619047619 and parameters: {'n_estimators': 445, 'criterion': 'log_loss', 'max_features': 124, 'min_samples_split': 16, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 245 finished with value: 0.5941666666666667 and parameters: {'n_estimators': 477, 'criterion': 'log_loss', 'max_features': 178, 'min_samples_split': 19, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.6138095238095238.
Trial 246 finished with value: 0.5914285714285714 and parameters: {'n_estimators': 420, 'criterion': 'log_loss', 'max_features': 79, 'min_samples_split': 22, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 247 finished with value: 0.5939285714285715 and parameters: {'n_estimators': 392, 'criterion': 'entropy', 'max_features': 139, 'min_samples_split': 18, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 248 finished with value: 0.5917857142857141 and parameters: {'n_estimators': 378, 'criterion': 'log_loss', 'max_features': 246, 'min_samples_split': 21, 'min_samples_leaf': 1}. Best is trial 13 with value: 0.6138095238095238.
Trial 249 finished with value: 0.5816666666666667 and parameters: {'n_estimators': 407, 'criterion': 'log_loss', 'max_features': 111, 'min_samples_split': 19, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.6138095238095238.
Trial 250 finished with value: 0.5891666666666666 and parameters: {'n_estimators': 496, 'criterion': 'log_loss', 'max_features': 276, 'min_samples_split': 13, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.6138095238095238.
Trial 251 finished with value: 0.6014285714285714 and parameters: {'n_estimators': 450, 'criterion': 'entropy', 'max_features': 234, 'min_samples_split': 16, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 252 finished with value: 0.5915476190476189 and parameters: {'n_estimators': 447, 'criterion': 'log_loss', 'max_features': 261, 'min_samples_split': 15, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 253 finished with value: 0.5894047619047618 and parameters: {'n_estimators': 428, 'criterion': 'entropy', 'max_features': 118, 'min_samples_split': 12, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.6138095238095238.
Trial 254 finished with value: 0.5864285714285715 and parameters: {'n_estimators': 361, 'criterion': 'log_loss', 'max_features': 83, 'min_samples_split': 47, 'min_samples_leaf': 6}. Best is trial 13 with value: 0.6138095238095238.
Trial 255 finished with value: 0.5792857142857142 and parameters: {'n_estimators': 459, 'criterion': 'log_loss', 'max_features': 226, 'min_samples_split': 14, 'min_samples_leaf': 2}. Best is trial 13 with value: 0.6138095238095238.
